x1,x2,type
,3.5,Iris-setosa
4.9,3,Iris-setosa
4.7,3.2,Iris-setosa
4.6,3.1,Iris-setosa
5,3.6,Iris-setosa
5.4,3.9,Iris-setosa
4.6,,Iris-setosa
5,3.4,Iris-setosa
4.4,2.9,Iris-setosa
4.9,3.1,Iris-setosa
5.4,3.7,Iris-setosa
4.8,3.4,Iris-setosa
,3,Iris-setosa
4.3,3,Iris-setosa
5.8,4,Iris-setosa
5.7,4.4,Iris-setosa
5.4,3.9,Iris-setosa
5.1,3.5,Iris-setosa
5.7,,Iris-setosa
5.1,3.8,Iris-setosa
5.4,3.4,Iris-setosa
5.1,3.7,Iris-setosa
4.6,3.6,Iris-setosa
5.1,3.3,Iris-setosa
4.8,3.4,Iris-setosa
5,3,Iris-setosa
5,3.4,Iris-setosa
5.2,3.5,Iris-setosa
5.2,3.4,Iris-setosa
4.7,3.2,Iris-setosa
4.8,3.1,Iris-setosa
,3.4,Iris-setosa
5.2,4.1,Iris-setosa
5.5,4.2,Iris-setosa
4.9,3.1,Iris-setosa
5,3.2,Iris-setosa
5.5,3.5,Iris-setosa
4.9,3.1,Iris-setosa
4.4,,Iris-setosa
5.1,3.4,Iris-setosa
5,2,Iris-versicolor
5.9,3,Iris-versicolor
6,2.2,Iris-versicolor
,2.9,Iris-versicolor
5.6,2.9,Iris-versicolor
6.7,3.1,Iris-versicolor
5.6,3,Iris-versicolor
5.8,2.7,Iris-versicolor
6.2,2.2,Iris-versicolor
5.6,2.5,Iris-versicolor
5.9,3.2,Iris-versicolor
6.1,2.8,Iris-versicolor
6.3,2.5,Iris-versicolor
6.1,2.8,Iris-versicolor
6.4,2.9,Iris-versicolor
6.6,3,Iris-versicolor
6.8,2.8,Iris-versicolor
6.7,3,Iris-versicolor
6,2.9,Iris-versicolor
5.7,,Iris-versicolor
5.5,2.4,Iris-versicolor
5.5,2.4,Iris-versicolor
5.8,2.7,Iris-versicolor
6,2.7,Iris-versicolor
5.4,3,Iris-versicolor
6,3.4,Iris-versicolor
6.7,3.1,Iris-versicolor
6.3,2.3,Iris-versicolor
5.6,3,Iris-versicolor
5.5,2.5,Iris-versicolor
5.5,2.6,Iris-versicolor
6.1,3,Iris-versicolor
5.8,2.6,Iris-versicolor
,2.3,Iris-versicolor
5.6,2.7,Iris-versicolor
5.7,,Iris-versicolor
5.7,2.9,Iris-versicolor
6.2,2.9,Iris-versicolor
5.1,,Iris-versicolor
5.7,2.8,Iris-versicolor
